pitcher_id,name,team,ip,era,fip,k,bb,hbp,hr,games_started
663795,Justin Hagenman,New York Mets,23.7,4.56,3.74,23,2,1,4,1
607074,Carlos Rodón,New York Yankees,195.3,3.09,3.75,203,73,9,22,33
805673,Zebby Matthews,Minnesota Twins,79.3,5.56,3.76,88,24,0,12,16
605288,Adrian Houser,San Francisco Giants,125.0,3.31,3.78,92,38,8,10,21
666157,Nick Lodolo,Cincinnati Reds,156.7,3.33,3.78,156,31,13,22,28
678906,Kai-Wei Teng,Houston Astros,29.7,6.37,3.78,39,17,7,2,7
663568,Stephen Kolek,Kansas City Royals,112.7,3.51,3.79,77,31,7,9,19
665795,Edward Cabrera,Chicago Cubs,137.7,3.53,3.79,150,48,10,17,26
434378,Justin Verlander,San Francisco Giants,152.0,3.85,3.81,137,52,6,16,29
656876,Drew Rasmussen,Tampa Bay Rays,150.0,2.76,3.81,127,37,5,18,31
641778,Eric Lauer,Toronto Blue Jays,104.7,3.18,3.82,102,26,2,15,15
656427,Jack Flaherty,Detroit Tigers,161.0,4.64,3.82,188,59,5,23,31
676961,Caleb Boushley,Tampa Bay Rays,43.3,6.02,3.82,41,14,2,5,1
672582,Angel Zerpa,Milwaukee Brewers,64.7,4.18,3.83,58,22,2,7,2
622491,Luis Castillo,Seattle Mariners,180.7,3.54,3.84,162,46,7,23,32
690928,Hunter Dobbins,St. Louis Cardinals,61.0,4.13,3.84,45,17,2,6,11
663554,Casey Mize,Detroit Tigers,149.0,3.87,3.85,139,36,3,21,28
700363,AJ Smith-Shawver,Atlanta Braves,44.3,3.86,3.87,42,21,1,4,9
694738,Landen Roupp,San Francisco Giants,106.7,3.8,3.88,102,45,3,11,22
668964,Tobias Myers,New York Mets,50.7,3.55,3.89,38,15,2,5,6
592662,Robbie Ray,San Francisco Giants,182.3,3.65,3.9,186,73,4,22,32
669203,Corbin Burnes,Arizona Diamondbacks,64.3,2.66,3.91,63,26,3,7,11
657376,Clarke Schmidt,New York Yankees,78.7,3.32,3.92,73,30,1,9,14
665152,Dean Kremer,Baltimore Orioles,171.7,4.19,3.94,142,45,2,22,29
680742,Jonathan Bowlan,Philadelphia Phillies,44.3,3.86,3.94,46,17,0,6,1
663903,Brady Singer,Cincinnati Reds,169.7,4.03,3.95,163,60,14,19,32
681347,Mike Burrows,Houston Astros,96.0,3.94,3.97,97,31,5,13,19
